CountryName,CountryCode,Y1990,Y2000,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
Romania,ROU,90.23724365,95.73542023,91.71987915,93.15514374,94.6677475,97.45678711,94.66046143,0,0,93.4379425,91.95834351,0
Russian Federation,RUS,0,90.43286896,93.31537628,98.29653931,0,96.91036224,97.9548111,100.4931488,100.3978271,101.217247,0,0
Rwanda,RWA,43.18278885,23.21241951,52.37142944,69.49378967,70.87532043,0,69.9070282,67.80348206,61.61635971,61.83549881,67.26457977,0
Samoa,WSM,0,94.02619934,0,104.6429367,106.4866104,104.1454163,102.4120407,0,100.4094772,103.3926697,104.5649872,0
San Marino,SMR,0,0,0,91.61676788,101.2383881,93.49845123,95.31680298,0,0,0,0,0
Sao Tome and Principe,STP,73.91423798,0,73.61009979,81.18508148,81.1856308,107.2297134,0,95.89775085,86.96952057,0,79.40231323,86.72136688
Saudi Arabia,SAU,0,0,96.54193115,0,0,101.1209335,106.3980179,110.0036697,120.74366,118.2422791,114.3582993,0
Senegal,SEN,42.55971909,38.63547897,56.92528915,57.43799973,56.7715683,60.13945007,59.44857025,59.84265137,60.35475922,58.65095901,58.86642075,0
Serbia,SRB,0,0,104.3832016,96.41523743,96.44892883,104.1276474,98.01016235,98.90995789,101.9012604,101.0108414,98.83048248,0
Seychelles,SYC,0,98.8139801,112.1542892,106.4131165,110.5182877,112.8447571,109.7481689,112.4270172,122.5614929,122.2222214,126.5188828,0
Sierra Leone,SLE,0,0,0,0,0,66.37705231,62.65943146,61.42311096,0,58.25111008,66.47676849,0
Singapore,SGP,0,0,0,0,0,0,0,0,0,0,99.78926849,0
Sint Maarten (Dutch part),SXM,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,SVK,0,96.26741791,97.41631317,99.15538025,99.06581879,96.09583282,93.17749786,94.56887054,96.29537201,95.98979187,0,0
Slovenia,SVN,0,96.30236053,96.62270355,95.63864899,96.75502777,95.85883331,101.4297638,98.73876953,99.49526215,97.51605225,0,0
Small states,SST,75.02481079,79.71546936,82.45085907,82.49352264,82.51438904,82.83307648,83.78352356,84.13059235,82.42366028,82.99893188,82.93903351,0
Solomon Islands,SLB,60.08055115,0,0,0,84.86022186,85.55438995,85.10575867,0,0,0,0,0
Somalia,SOM,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,0,84.36528778,0,0,0,0,0,0,0,83.71096039,0,0
South Asia,SAS,63.99351883,69.5789032,86.99920654,88.57225037,88.36360931,88.0096283,90.68475342,92.85263062,94.22119904,94.40599823,93.34326172,0
South Asia (IDA & IBRD),TSA,63.99351883,69.5789032,86.99920654,88.57225037,88.36360931,88.0096283,90.68475342,92.85263062,94.22119904,94.40599823,93.34326172,0
South Sudan,SSD,0,0,0,0,0,25.73390961,0,0,0,0,0,0
Spain,ESP,99.72859192,0,99.86369324,102.2304382,103.1816177,102.0868301,102.087883,99.31030273,97.59393311,98.92230225,97.17855072,0
