CountryName,CountryCode,Y1990,Y2000,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
Mali,MLI,167755.2104,192965.5263,238600.2027,241755.4155,246922.9889,247281.5428,238079.837,236600.0098,246022.8573,253154.637,259994.6782,265695.7689
Malta,MLT,9079.934495,13821.53212,15962.22571,15452.25552,15921.28499,16063.68974,16351.76703,16867.26906,17875.40443,19133.22683,19678.44939,20495.08696
Marshall Islands,MHL,2333.434818,2322.164919,2676.789613,2627.865061,2791.855031,2819.247459,2910.031711,2985.890175,2957.406707,2941.287693,2993.413862,3064.726269
Mauritania,MRT,158975.6309,155827.633,191946.3276,184596.6702,187876.0832,190992.4484,196122.2452,201953.9949,207044.1053,203998.2871,202336.7956,203772.7608
Mauritius,MUS,99256.25548,148842.877,199600.83,205670.8917,214163.4519,222539.3871,229681.7875,236877.378,245302.8764,253475.7012,262927.024,272672.2256
Mexico,MEX,105963.9402,127142.7735,132089.9061,123111.2966,127411.6061,130114.4629,132913.5866,132835.9927,134761.7422,137323.6666,139496.6149,140549.2036
"Micronesia, Federated States of",FSM,1928.766441,2210.922258,2245.372231,2283.124279,2337.477803,2419.170178,2370.23951,2274.41033,2218.676152,2318.771844,2306.163698,2338.758603
Moldova,MDA,0,4401.47,7350.052772,6917.77696,7416.341736,7925.234088,7870.78993,8612.95016,9031.876812,9001.542947,9412.316798,9841.978027
Monaco,MCO,69968.64741,78090.20662,100814.1993,0,0,0,0,0,0,0,0,0
Mongolia,MNG,2390085.063,2171953.411,3535055.775,3437682.105,3596700.053,4143947.889,4567297.24,5001796.451,5295083.482,5324615.73,5300850.015,5524734.958
Montenegro,MNE,0,1761.63154,2466.912276,2318.972042,2378.019237,2452.215121,2383.416076,2465.596331,2507.141088,2590.689518,2666.480637,2780.388805
Morocco,MAR,13702.3799,15705.20355,21390.13135,22024.19894,22568.45082,23427.1215,23787.65794,24504.31046,24794.83167,25558.59432,25519.97383,26217.36731
Mozambique,MOZ,5455.082083,8093.437987,12357.87577,12764.4355,13225.95439,13759.67228,14326.39863,14909.5356,15561.4121,16114.78228,16246.27489,16372.44809
Myanmar,MMR,158341.5595,278428.4838,663278.8683,728529.4259,793062.5923,830828.0408,884168.3411,950065.5475,1016582.428,1077715.095,1130608.809,1191678.137
Namibia,NAM,25692.66999,27430.40521,36871.38639,36449.87099,38008.57526,39178.40407,40283.09231,41579.08807,43204.13076,44811.15078,44139.43581,42864.5646
Nauru,NRU,0,0,3518.307027,3823.750628,4307.25187,4795.227205,5164.889581,6584.844284,8207.179617,8016.953908,8461.391678,8425.52568
Nepal,NPL,13806.61625,17745.60191,21321.9522,22067.41435,22888.86742,23408.73711,24241.62091,24940.01317,26118.28067,26672.53539,26480.95918,28153.86156
