CountryName,CountryCode,Y1990,Y2000,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
Samoa,WSM,0,3.582930088,5.144209862,0,0,0,0,0,0,0,4.081049919,0
San Marino,SMR,0,0,0,0,2.30979991,2.382920027,0,0,0,0,0,0
Sao Tome and Principe,STP,0,0,5.554490089,10.67790031,9.651470184,0,6.339509964,5.939690113,3.749279976,0,0,0
Saudi Arabia,SAU,0,5.90982008,5.13781023,0,0,0,0,0,0,0,0,0
Senegal,SEN,0,3.157480001,5.048069954,6.192930222,6.501369953,6.068389893,5.934470177,7.244209766,7.401400089,7.107180119,0,0
Serbia,SRB,0,0,4.70663023,4.751880169,4.586550236,4.492980003,4.426579952,0,4.180250168,4.040689945,0,0
Seychelles,SYC,0,0,0,0,0,3.606440067,0,0,0,0,0,0
Sierra Leone,SLE,0,4.949369907,2.413170099,2.737879992,2.550470114,2.668900013,2.872040033,2.379810095,2.662909985,0,2.912359953,0
Singapore,SGP,0,3.321360111,2.779360056,3.031840086,3.108360052,3.074189901,3.112659931,2.91283989,0,0,0,0
Sint Maarten (Dutch part),SXM,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,SVK,0,3.871989965,3.526740074,4.010940075,4.115880013,3.962310076,3.909209967,4.086659908,4.230679989,4.649779797,0,0
Slovenia,SVN,0,0,5.106090069,5.568590164,5.562510014,5.565629959,5.647830009,5.437819958,5.294439793,0,0,0
Small states,SST,4.216645002,5.015100002,5.85441494,6.076315165,5.033329964,4.012239933,3.462820053,3.61578989,5.198180199,0,0,0
Solomon Islands,SLB,0,0,8.7999897,8.973259926,10.00107956,0,0,0,0,0,0,0
Somalia,SOM,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,5.125790119,5.443580151,4.866000175,5.248690128,5.721739769,5.962749958,6.371640205,6.013539791,6.04693985,0,5.943029881,0
South Asia,SAS,2.410929918,2.550115108,2.746229887,2.59078002,3.42347002,2.82980001,2.349954963,2.98257494,3.121760011,2.946019888,2.500319958,0
South Asia (IDA & IBRD),TSA,2.410929918,2.550115108,2.746229887,2.59078002,3.42347002,2.82980001,2.349954963,2.98257494,3.121760011,2.946019888,2.500319958,0
South Sudan,SSD,0,0,0,0,0,0.805209994,0,1.178900003,1.712970018,1.540609956,1.810940027,0
Spain,ESP,3.643490076,4.176370144,4.500939846,4.867710114,4.81911993,4.866330147,4.431879997,4.328340054,4.279900074,0,0,0
Sri Lanka,LKA,2.410929918,0,0,2.055900097,1.717740059,1.808609962,1.496170044,1.621070027,1.932880044,2.22852993,3.494970083,0
Saint Kitts and Nevis,KNA,0,4.75369978,0,0,0,0,0,0,0,2.778529882,0,0
Saint Lucia,LCA,0,0,4.689179897,3.439729929,3.864929914,3.860320091,3.590130091,4.312099934,4.336209774,4.37417984,5.710239887,0
